"","api_uri","district","domain","dw_nominate","facebook_account","facebook_id","first_name","id","ideal_point","last_name","middle_name","missed_votes_pct","next_election","party","rss_url","seniority","state","thomas_id","twitter_account","url","votes_with_party_pct"
"287","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000002.json","10","nadler.house.gov","-0.499","CongressmanNadler","78291598977","Jerrold","N000002","-1.786361049","Nadler","","3.53","2014","D","http://nadler.house.gov/rss.xml","24","NY","850","RepJerryNadler","http://nadler.house.gov/","94.13"
"288","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000015.json","1","neal.house.gov","-0.461","325642654132598","325642654132598","Richard","N000015","-1.409008636","Neal","E.","7.56","2014","D","http://neal.house.gov/index.php?format=feed&amp;type=rss","26","MA","854","RepRichardNeal","http://neal.house.gov/","93.60"
"289","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000127.json","8","nolan.house.gov","-0.444","UsRepRickNolan","388085277945339","Rick","N000127","-0.887738622","Nolan",NA,"2.52",NA,"D","http://nolan.house.gov/rss.xml","2","MN","867","usrepricknolan","http://nolan.house.gov/","89.15"
"290","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000147.json","79","www.norton.house.gov","","CongresswomanNorton","61731840657","Eleanor","N000147","","Norton","Holmes","0.00","2014","D","http://www.norton.house.gov/index.php?format=feed&amp;type=rss","24","DC","868","EleanorNorton","http://norton.house.gov/","0.00"
"291","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000179.json","32","napolitano.house.gov","-0.506","RepGraceNapolitano","163108420409412","Grace","N000179","-1.351246676","Napolitano","F.","2.90","2014","D","http://napolitano.house.gov/rss.xml","16","CA","1602","gracenapolitano","http://napolitano.house.gov/","93.51"
"292","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000181.json","22","nunes.house.gov","0.705","","","Devin","N000181","0.705252324","Nunes",NA,"3.40","2014","R","http://nunes.house.gov/news/rss.aspx","12","CA","1710","Rep_DevinNunes","http://nunes.house.gov/","95.83"
"293","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000182.json","19","randy.house.gov","0.847","rep.randy.neugebauer","64137294987","Randy","N000182","1.483880295","Neugebauer",NA,"0.88","2014","R","http://randy.house.gov/rss.xml","12","TX","1758","RandyNeugebauer","http://randy.house.gov/","96.32"
"294","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000184.json","1","noem.house.gov","0.515","","","Kristi","N000184","0.778166169","Noem",NA,"4.16",NA,"R","http://noem.house.gov/index.cfm/rss/feed","4","SD","2060","repkristinoem","http://noem.house.gov/","95.01"
"295","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000185.json","11","nugent.house.gov","0.766","RepRichNugent","183541871674897","Richard","N000185","0.87157041","Nugent",NA,"4.16","2014","R","http://nugent.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","4","FL","2001","RepRichNugent","http://nugent.house.gov/","93.17"
"296","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000186.json","1","nunnelee.house.gov","0.617","CongressmanNunnelee","144919278895639","Alan","N000186","0.9832568","Nunnelee",NA,"1.64",NA,"R","http://nunnelee.house.gov/common/rss//index.cfm?rss=49","4","MS","2034","repalannunnelee","http://nunnelee.house.gov/","97.18"
"297","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000187.json","35","negretemcleod.house.gov","-0.432","NegreteMcLeod","282772691776629","Gloria","N000187","-1.067452886","Negrete McLeod",NA,"13.85",NA,"D","http://negretemcleod.house.gov/rss.xml","2","CA","2108","RepMcLeod","http://negretemcleod.house.gov/","91.52"
"298","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000168.json","22","olson.house.gov","0.677","20718168936","20718168936","Pete","O000168","1.19054433","Olson",NA,"3.02","2014","R","http://olson.house.gov/common/rss/?rss=82","6","TX","1955","OlsonPressShop","http://olson.house.gov/","96.75"
"299","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000169.json","21","owens.house.gov","-0.168","repbillowens","132985523396856","Bill","O000169","-0.277138493","Owens",NA,"1.13","2014","D","http://owens.house.gov/news/rss.aspx","6","NY","1974","BillOwensNY","http://owens.house.gov/","71.97"
"300","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/O000170.json","16","orourke.house.gov","-0.404","betoorourketx16","460776160654909","Beto","O000170","-0.968593817","O&#x27;Rourke",NA,"0.25",NA,"D","http://orourke.house.gov/rss.xml","2","TX","2162","betoorourketx16","http://orourke.house.gov/","93.94"
"301","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000034.json","6","pallone.house.gov","-0.564","repfrankpallone","6517277731","Frank","P000034","-1.693604823","Pallone",NA,"10.20","2014","D","http://pallone.house.gov/rss.xml","28","NJ","887","FrankPallone","http://pallone.house.gov/","91.87"
"302","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000096.json","9","pascrell.house.gov","-0.411","pascrell","303312929155","Bill","P000096","-1.115691594","Pascrell Jr.",NA,"3.53","2014","D","http://www.house.gov/apps/list/press/nj08_pascrell/RSS.xml","18","NJ","1510","BillPascrell","http://pascrell.house.gov/","95.04"
"303","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000099.json","7","www.pastor.house.gov","-0.426","","","Ed","P000099","-0.890071202","Pastor",NA,"14.74","2014","D","http://www.pastor.house.gov/index.php?format=feed&amp;type=rss","24","AZ","893","PastorForAZ","http://www.pastor.house.gov/","89.36"
"304","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000197.json","12","pelosi.house.gov","-0.407","NancyPelosi","86574174383","Nancy","P000197","-1.32746566","Pelosi",NA,"8.19","2014","D","http://pelosi.house.gov/atom.xml","26","CA","905","NancyPelosi","http://pelosi.house.gov/","94.38"
"305","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000258.json","7","collinpeterson.house.gov","-0.191","","","Collin","P000258","-0.216105243","Peterson","C.","0.63","2014","D","http://collinpeterson.house.gov/rss.xml","24","MN","910","","http://collinpeterson.house.gov/","66.92"
"306","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000265.json","6","petri.house.gov","0.807","thomaspetri","","Tom","P000265","0.691642954","Petri",NA,"0.25","2014","R","http://petri.house.gov/rss.xml","36","WI","912","","http://petri.house.gov/","92.42"
"307","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000373.json","16","pitts.house.gov","0.837","94156528752","94156528752","Joe","P000373","1.027119905","Pitts",NA,"2.27","2014","R","http://pitts.house.gov/rss.xml","18","PA","1514","RepJoePitts","http://pitts.house.gov/","94.72"
"308","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000523.json","4","price.house.gov","-0.423","","","David","P000523","-1.130159438","Price","E.","0.00","2014","D","http://price.house.gov/index.php?format=feed&amp;type=rss","26","NC","930","RepDavidEPrice","http://price.house.gov/","95.09"
"309","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000588.json","2","pearce.house.gov","0.799","RepStevePearce","180280568662135","Steve","P000588","0.874184403","Pearce",NA,"1.76","2014","R","http://pearce.house.gov/rss.xml","4","NM","1738","RepStevePearce","http://pearce.house.gov/","91.92"
"310","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000591.json","6","tomprice.house.gov","0.943","reptomprice","172032960420","Tom","P000591","1.170542954","Price",NA,"1.13","2014","R","http://tomprice.house.gov/rss.xml","10","GA","1778","RepTomPrice","http://tomprice.house.gov/","92.23"
"311","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000592.json","2","www.house.gov","0.967","106631626049851","106631626049851","Ted","P000592","0.91725559","Poe",NA,"3.90","2014","R","http://poe.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","10","TX","1802","JudgeTedPoe","http://poe.house.gov/","89.78"
"312","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000593.json","7","perlmutter.house.gov","-0.29","RepPerlmutter","86174496459","Ed","P000593","-0.607107619","Perlmutter",NA,"4.28","2014","D","http://perlmutter.house.gov/index.php?format=feed&amp;type=rss","8","CO","1835","RepPerlmutter","http://perlmutter.house.gov/","90.13"
"313","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/P000594.json","3","paulsen.house.gov","0.734","CongressmanErikPaulsen","128558293848160","Erik","P000594","0.794967925","Paulsen",NA,"0.38","2014","R","http://paulsen.house.gov/common/rss//?rss=105","6","MN","1930","RepErikPaulsen","http://paulsen.house.gov/","91.28"
